id,text,author,link,category,date_of_publication,number_of_tokens,number_of_words_without_punctuation,number_of_types,number_of_links_inside_the_news,number_of_words_in_upper_case,number_of_verbs,number_of_subjunctive_and_imperative_verbs,number_of_nouns,number_of_adjectives,number_of_adverbs,number_of_modal_verbs,number_of_singular_first_and_second_personal_pronouns,number_of_plural_first_personal_pronouns,number_of_pronouns,pausality,number_of_characters,average_sentence_length,average_word_length,percentage_of_news_with_spelling_errors,emotiveness,diversity
1817,"Wyllys diz que está sendo punido por ser homossexual. Não Jean, você está sendo punido porque não teve decoro.  Ricardo Izar (PP-SP) e Jean Wyllys (PSOL-RJ) tiveram um bate-boca feio no início da noite de hoje (14) no plenário da Câmara.  (Karen Barbosa  Jornalista e homossexual com orgulho  para o Diário do Brasil) Acusado de quebra de decoro parlamentar por ter cuspido em Jair Bolsonaro, Jean Wyllys é alvo de um parecer do deputado Izar que pede a suspensão de seu mandato por quatro meses. Jean disse, durante a discussão de hoje, que está sendo punido por ser homossexual. Não caro Jean! Vossa excelência está sendo punido porque não teve decoro, porque é porco e porque usa o homossexualismo para se promover como figura pública. Enfim, está sendo punido porque é um ser humano desprezível e um péssimo parlamentar para o Brasil. Pare de fazer papel de vítima caro parlamentar. O povo não é bobo!",None,https://www.diariodobrasil.org/wyllys-diz-que-esta-sendo-punido-por-ser-homossexual-nao-jean-voce-esta-sendo-punido-porque-e-porco-e-nao-teve-decoro/,politica,14/12/2016,181,158,91,0,4,33,0,41,9,10,11,0,0,6,2.55556,720,17.5556,4.55696,0.0,0.256757,0.575949
602,"Tremor de terra de 2.9 graus é registrado em área de lançamento de mísseis na Coreia do Norte.  Neste fim de semana, temores de um novo teste de bomba de hidrogênio voltaram a assustar o mundo.  Um terremoto de magnitude 2,9 foi registrado próximo a Punggye-ri, local de testes nucleares utilizado pelo ditador Kim Jong-un. Ainda não há relatos oficiais que possam confirmar se houve um possível lançamento de artefato nuclear. Com a explosão ocorrida no mês passado, que foi quantificada como dez vezes maior do que a explosão de Hiroshima (em 1945), as placas tectônicas em torno desta área de testes provavelmente foram enfraquecidas, o que pode ter causado o tremor de terra, porém um novo lançamento não pode ser totalmente descartado, informou a CBS News . Especialistas civis disseram à CBS News que a Coréia do Norte poderá ser obrigada a abandonar o local de testes. Kane Yull Sah, professora de engenharia nuclear da Universidade Nacional de Seul, descreveu a detonação da bomba H da Coreia como: Além do terreno enfraquecido, Sah diz que há o risco de uma erupção vulcânica no Monte Paektu, que fica a cerca de 60 milhas de distância. O vulcão entrou em erupção (pela última vez) em 1903. Kiom So-gu, pesquisador-chefe do Instituto de Sismologia da Coréia, disse à NBC News :",None,https://www.diariodobrasil.org/tremor-de-terra-de-2-9-graus-e-registrado-em-area-de-lancamento-de-misseis-na-coreia-do-norte/,sociedade_cotidiano,15/10/2017,244,223,142,1,4,34,1,59,14,7,11,0,0,6,2.1,1033,22.3,4.63229,0.0,0.225806,0.636771
953,"Venezuelano grava vídeo e mostra o plano diabólico do PT: ""Querem transformar o Brasil numa Venezuela"". .  Ouça (e leia) com atenção o que diz esse cidadão venezuelano: ""Ficamos 16 anos esperando e as Forças Armadas não fazem nada. A primeira coisa que um regime comunista faz quando assume um governo é trocar o comando dos militares [...] eles colocam ""militares comunistas"" no comando e uma intervenção passa a ser algo praticamente impossível de se acontecer"" ""O comunistas são muito hábeis para simular. Eles jamais fazem o serviço sujo. Eles criam grupos armados que atuam (para eles) fora da lei"" ""Eles mudam as leis para se perpetuarem no poder e para poder movimentar o dinheiro do país como querem""",None,https://www.diariodobrasil.org/venezuelano-grava-video-e-mostra-o-plano-diabolico-do-pt-querem-transformar-o-brasil-numa-venezuela/,politica,07/08/2017,141,117,90,0,1,29,2,25,9,7,2,0,0,14,2.66667,563,13.0,4.81197,0.0,0.296296,0.769231
2987,"Oficial da Reserva avisa: ""Se a lei do impeachment falhar,  partiremos para a desobediência civil "".  O comentário foi publicado numa postagem da revista IstoÉ,  em uma rede social.  Vale a pena dar uma lida: E SE O IMPEACHMENT FALHAR? Se o Impeachment falhar,  teremos que fazer greve geral [...] como na Venezuela! Desobediência civil! Se formos em multidão para as avenidas das principais das cidades e nos sentarmos no asfalto e impedir o trânsito que ocorrerá? Se fizermos Moratória dos Impostos,  como se sustentarão? É nossa chance de tomar as rédeas do nosso destino nas mãos? Quem vai mandar desobstruir as avenidas com milhares de pessoas de bem,  pacíficas,  em desobediência civil? Vão mandar a PM? A PF? A Força Nacional de Segurança cujo comandante se demitiu dizendo que não compactua com gente inescrupulosa? Vão mandar o Exército? Essas tropas estão ao lado da lei e da ordem e como Oficial da Reserva arriscaria minha vida em dizer que frente a protesto pacífico,  legítimo e ordeiro,  de desobediência civil,  se recusariam a cumprir ordem de repressão,  por absurda e injusta! Muito provavelmente ficariam ao lado do povo! Lembram do pequeno chinês que (sozinho) parou uma coluna de tanques? É desta força moral que falo! Nos liberaremos com ou sem os políticos! Que isso fique claro! Que venham os vermelhos! Por aqui não passarão!",None,https://www.diariodobrasil.org/oficial-da-reserva-avisa-se-a-lei-do-impeachment-falhar-partiremos-para-a-desobediencia-civil/,tv_celebridades,05/04/2016,262,222,152,0,6,39,6,57,12,9,3,0,2,15,6.66667,1075,37.0,4.84234,0.0,0.21875,0.684685
2720,"Lava-Jato vai investigar captadores da Lei Rouanet. Ator ""cuspidor oficial do PT"" poderá ser um dos alvos.  A força-tarefa da Operação Lava Jato,  na República de Curitiba vai,  irá investigar os incentivos culturais do País atrvés da Lei Rouanet.  Eduardo Mauat [delegado do PF] encaminhou ofício ao Ministério da Transparência Fiscalizaçãosolicitando detalhes sobre os 100 maiores captadores de recursos via Lei Rouanet desde 2006. O "" cuspidor oficial do PT "",  o ator José de Abreu,  poderá ser um dos alvos Lava Jato nessas investigações. Através de uma entrevista no Domingão do Faustão,  Abreu foi esnobe e disse que não depende da Lei Rouanet para sobreviver,  porém revelou que já teve duas peças financiadas pela mesma. O financiamento de atores ""íntimos de Lula e Dilma"" e de ideologias comunistas se tornou um símbolo nos governos petistas e uma forma de facilitar a Cultura de acordo com os interesses do PT. A força tarefa da Lava-Jato irá investigar se,  além do alinhamento ideológico,  não existiram casos de corrupção e desvios de recursos destinados a produções culturais para enriquecimento ilícito.",None,https://www.diariodobrasil.org/lava-jato-vai-investigar-captadores-da-lei-rouanet-ator-cuspidor-oficial-do-pt-podera-ser-um-dos-alvos/,politica,03/06/2016,200,179,112,1,4,24,0,55,11,6,5,0,0,4,2.33333,905,19.8889,5.05587,0.00558659,0.21519,0.625698
1994,"A maior vergonha da TV brasileira dos últimos tempos. Apresentadora fala palavrão cabeludo ao vivo.  Depois do Cardozão (ex-advogado de Dilma) citar o jurista ""Tomás Turbando"",  a gafe da vez foi da jornalista Maria Beltrão.  No último domingo (30) a apresentadora do programa Estúdio I (do canal Globo News) estava concentradíssima na cobertura das eleições quando [...] de repente [...] uma participação inusitada de um internauta chamou atenção. Beltrão foi ler a ""tal"" participação (que foi feita através do twitter) confira você mesmo: leia também:",None,https://www.diariodobrasil.org/a-maior-vergonha-da-tv-brasileira-dos-ultimos-tempos-apresentadora-fala-palavrao-cabeludo-ao-vivo/,tv_celebridades,01/11/2016,108,84,71,2,2,11,2,28,7,6,2,0,0,4,2.18182,436,7.63636,5.19048,0.0,0.333333,0.845238
2803,"Ministro do STF descobre escuta debaixo de sua mesa.  Colocaram uma escuta dentro do gabinete de um ministro do STF. A que ponto chegamos!.  A matéria diz que a  escuta foi descoberta pela secretaria de segurança do Supremo Tribunal Federal. Os microfones foram descobertos durante uma uma varredura de rotina nos gabinetes ministros e estavam instalados no gabinete do ministro Luís Roberto Barroso,  debaixo da mesa. A divulgação do fato foi autorizada pelo próprio ministro Barroso. O STF ainda não se pronunciou oficialmente. (A informação é de Leandro Mazzini do portal UOL)",None,https://www.diariodobrasil.org/ministro-do-stf-descobre-escuta-debaixo-de-sua-mesa/,politica,17/05/2016,103,92,65,0,4,14,0,32,0,3,3,0,0,4,1.375,473,11.5,5.1413,0.0,0.0652174,0.706522
2095,"Ivete interrompe show e explica para seus fãs sobre o ""pó branco"" que ela inalou: ""Vou processar os caluniadores"".  Ivete Sangalo,  durante um show que fez em São Paulo na madrugada de hoje (9),  esclareceu ao Brasil qual é a substância branca que ela inala antes de seus shows.  Vídeos e matérias maldosas foram publicadas com o intuito de denegrir a imagem da artista. No último dia 5 ,  começou a rodar nas redes sociais um vídeo em que Ivete Sangalo aparece colocando uma substância branca dentro do nariz. O vídeo mostra que a ""tal substância branca"" estava dentro de um copo descartável. ""O copo continha soro fisiológico,  indicado pela fonoaudióloga da artista,  doutora Janaína Pimenta. O produto ajuda na hidratação das cordas e na melhora da performance vocal."" Pessoas maldosas usaram o fato para tentar destruir a carreira de uma das artistas mais brilhantes que a Bahia já produziu! Ivete decidiu se manifestar. Usando um copo semelhante ao que aparece no vídeo maldoso,  a cantora parou o o show e desabafou: ""O que está me me incomodando é o fato irresponsável que as pessoas trabalham com a responsabilidade alheia. Uma coisa é quando alguém faz uma brincadeira [...] Eu não admito que tratem de forma irresponsável o meu modo responsável de viver [..] tenho um filho de sete anos e milhões de fãs mirins,  crianças,  adolescentes,  a quem eu devo todo meu respeito e meu carinho."" disse. confira no vídeo abaixo:",None,https://www.diariodobrasil.org/ivete-interrompe-show-e-explica-para-seus-fas-sobre-o-po-branco-que-ela-inalou-vou-processar-os-caluniadores/,tv_celebridades,09/10/2016,281,239,155,1,0,45,2,61,19,7,3,4,0,24,2.47059,1133,14.0588,4.74059,0.0,0.245283,0.648536
1249,"Empresa de inteligência americana alerta: ""O mundo deve estar preparado para uma nova guerra"".  O fundador da empresa de inteligência norte-americana Stratfor, George Friedman, disse em entrevista à publicação da Business Insider que o mundo deve estar preparado para uma nova grande guerra.  De acordo com Friedman, não houve um único século na história mundial sem houvesse uma guerra que ""colocasse em choque toda a ordem mundial"". ""A Guerra dos Sete Anos na Europa, as guerras napoleônicas do século XIX, as grandes guerras mundiais  cada século teve um conflito específico. ""Quer apostar que neste século não haverá algo? Aceitarei"", disse o analista de inteligência. Friedman explicou como começam as tais guerras sistêmicas. Quando países como a Alemanha, Rússia e China entram em decadência, o seu lugar é ocupado por outros. O perigo desta situação é que os novos países ""ainda não atingiram o equilíbrio"". ""Em 1871, foi a reunificação da Alemanha que causou um ""inferno"". No início do século XX, o Japão aumentou o seu poderio e depois tornou-se em um caos"", exemplificou. ""Agora também observamos uma outra mudança sistêmica. Estejam preparados para uma guerra!"", concluiu Friedman. Na sua opinião, a mesma situação descrita de substituição da liderança de uns países por outros não é perigosa. O que é perigoso é a posição que os novos países assumem. Friedman explica que os territórios principais onde podem ser iniciados conflitos são o Japão, a Polônia e a Turquia. São os países que provavelmente substituirão as potências que estão perdendo a sua influência. Assim, Friedman prediz conflitos no Oriente Médio e na Europa Oriental, além de uma guerra marítima entre o Japão e os EUA. Ao mesmo tempo, na sua opinião, há pequena probabilidade de um país usar armas nucleares contra o inimigo. Seria a Coréia do Norte? libertar.in",None,https://www.diariodobrasil.org/empresa-de-inteligencia-americana-alerta-o-mundo-deve-estar-preparado-para-uma-nova-guerra17/,sociedade_cotidiano,16/05/2017,353,300,183,0,3,50,3,83,24,16,5,0,0,22,2.65,1487,15.0,4.95667,0.0,0.300752,0.61
2567,"Em mais uma entrevista confusa,  Dilma perde o rumo e diz que Lula veio da ""senzala"".  Dilma Rousseff concedeu uma entrevista ontem [27] para um grupo de jornalistas.  ""Quando se trata de entrevistas,  Dilma supera qualquer expectativa. Ela não fala coisa com coisa. Uma pessoa que se expressa como a ex-presidenta,  denota uma certa confusão mental. A fala é reflexo da forma de pensar. Dilma pensa exatamente como fala [...] e age de acordo com seus pensamentos. É por essa razão que o país chegou onde chegou"" (Patrícia Carvalho) Abaixo alguns trechos da conversa de Dilma confusa de Dilma com as jornalistas: Vera Durão : Queria saber de você como a ideia de se tornar presidente da República tomou corpo na sua cabeça. Foi uma sugestão do Lula ou você também tinha essa pretensão? Dilma Rousseff : Ô Vera,  é assim quase público e notório que eu não tinha a menor pretensão de ser presidenta,  tampouco de concorrer a nenhum cargo eletivo naquele então. Foi assim uma coisa ""espontânea muito pressionada""  conhece ""espontânea muito pressionada""? [risos] Foi isso o que aconteceu. Natalia Viana : E a senhora pensou que era importante ter a marca de ser o governo de uma mulher? Dilma : Isso é claro. Tanto é que acho que o transformador nessa história é que era o governo de um metalúrgico,  trabalhador,  operário,  ou seja,  da senzala . Vera Durão : E como foi isso na sua cabeça,  quando ele te propôs [ser candidata a presidente]? Dilma : Ah,  Vera,  eu nem lembro,  minha querida. Isso faz parte de outro mundo ,  de outra época. Natalia Viana : E quando foi que a senhora sentiu que queria fazer o seu governo? Dilma : Uai,  desde o início. Vera Durão : Você vai ao Senado se defender? Dilma : Estou avaliando. Sou do tipo de gente que avalia.",None,https://www.diariodobrasil.org/em-mais-uma-entrevista-confusa-dilma-perde-o-rumo-e-diz-que-lula-veio-da-senzala/,tv_celebridades,29/06/2016,365,297,173,0,2,54,0,76,17,28,1,2,0,34,3.2381,1358,14.1429,4.57239,0.0,0.346154,0.582492
